Chord Name,Chord Type,Ft-E,Ft-A,Ft-D,Ft-G,Ft-B,Ft-e,Fg-E,Fg-A,Fg-D,Fg-G,Fg-B,Fg-e,Fn-E,Fn-A,Fn-D,Fn-G,Fn-B,Fn-e,Fi-E,Fi-A,Fi-D,Fi-G,Fi-B,Fi-e,Fret Positions,Finger Positions,Notes,Sorted Intervals,Grouping
Abm9,m9,x,11,9,11,11,x,x,2,1,3,4,x,,Ab,B,Gb,Bb,,,1,b3,b7,2,,x-11-9-11-11-x,x-2-1-3-4-x,Ab B Gb Bb,1 2 b3 b7 ,
Abm9,m9,x,x,6,4,7,6,x,x,2,1,4,3,,,Ab,B,Gb,Bb,,,1,b3,b7,2,x-x-6-4-7-6,x-x-2-1-4-3,Ab B Gb Bb,1 2 b3 b7 ,
Abm9,m9,x,x,9,11,11,11,x,x,1,3,3,3,,,B,Gb,Bb,Eb,,,b3,b7,2,5,x-x-9-11-11-11,x-x-1-3-3-3,B Gb Bb Eb,2 b3 5 b7 ,
Abm9(maj7),m9(maj7),4,6,5,4,4,6,1,3,2,1,1,4,Ab,Eb,G,B,Eb,Bb,1,5,7,b3,5,2,4-6-5-4-4-6,1-3-2-1-1-4,Ab Eb G B Eb Bb,1 2 b3 5 7 ,
Abm9(maj7),m9(maj7),x,11,9,12,11,x,x,2,1,4,3,x,,Ab,B,G,Bb,,,1,b3,7,2,,x-11-9-12-11-x,x-2-1-4-3-x,Ab B G Bb,1 2 b3 7 ,
Abm9(maj7),m9(maj7),x,14,13,12,11,11,x,4,3,2,1,1,,B,Eb,G,Bb,Eb,,b3,5,7,2,5,x-14-13-12-11-11,x-4-3-2-1-1,B Eb G Bb Eb,2 b3 5 7 ,
Abm9(maj7),m9(maj7),x,x,1,3,0,3,x,x,1,3,0,4,,,Eb,Bb,B,G,,,5,2,b3,7,x-x-1-3-0-3,x-x-1-3-0-4,Eb Bb B G,2 b3 5 7 ,
Abm9(maj7),m9(maj7),x,x,9,8,8,6,x,x,4,2,3,1,,,B,Eb,G,Bb,,,b3,5,7,2,x-x-9-8-8-6,x-x-4-2-3-1,B Eb G Bb,2 b3 5 7 ,
Abm9b5,m9b5,7,x,8,7,7,x,1,x,4,2,3,x,B,,Bb,D,Gb,,b3,,2,b5,b7,,7-x-8-7-7-x,1-x-4-2-3-x,B Bb D Gb,2 b3 b5 b7 ,
Abm9b5,m9b5,x,2,4,3,3,2,x,1,4,2,3,1,,B,Gb,Bb,D,Gb,,b3,b7,2,b5,b7,x-2-4-3-3-2,x-1-4-2-3-1,B Gb Bb D Gb,2 b3 b5 b7 ,
Abm9b5,m9b5,x,13,12,11,12,x,x,4,2,1,3,x,,Bb,D,Gb,B,,,2,b5,b7,b3,,x-13-12-11-12-x,x-4-2-1-3-x,Bb D Gb B,2 b3 b5 b7 ,
Abm9b5,m9b5,x,x,4,4,3,6,x,x,2,3,1,4,,,Gb,B,D,Bb,,,b7,b3,b5,2,x-x-4-4-3-6,x-x-2-3-1-4,Gb B D Bb,2 b3 b5 b7 ,
Abm9b5,m9b5,x,x,9,11,11,10,x,x,1,3,4,2,,,B,Gb,Bb,D,,,b3,b7,2,b5,x-x-9-11-11-10,x-x-1-3-4-2,B Gb Bb D,2 b3 b5 b7 ,
Abmaj13,maj13,4,3,3,3,4,3,2,1,1,1,3,1,Ab,C,F,Bb,Eb,G,1,3,6,2,5,7,4-3-3-3-4-3,2-1-1-1-3-1,Ab C F Bb Eb G,1 2 3 5 6 7 ,
Abmaj13,maj13,4,x,5,5,6,x,1,x,2,3,4,x,Ab,,G,C,F,,1,,7,3,6,,4-x-5-5-6-x,1-x-2-3-4-x,Ab G C F,1 3 6 7 ,
Abmaj13,maj13,13,13,13,13,13,15,1,1,1,1,1,3,F,Bb,Eb,Ab,C,G,6,2,5,1,3,7,13-13-13-13-13-15,1-1-1-1-1-3,F Bb Eb Ab C G,1 2 3 5 6 7 ,
Abmaj13,maj13,x,11,10,10,8,8,x,4,2,3,1,1,,Ab,C,F,G,C,,1,3,6,7,3,x-11-10-10-8-8,x-4-2-3-1-1,Ab C F G C,1 3 6 7 ,
Abmaj13,maj13,x,11,x,12,13,13,x,1,x,2,3,4,,Ab,,G,C,F,,1,,7,3,6,x-11-x-12-13-13,x-1-x-2-3-4,Ab G C F,1 3 6 7 ,
Abmaj7,maj7,4,x,5,5,4,x,1,x,3,4,2,x,Ab,,G,C,Eb,,1,,7,3,5,,4-x-5-5-4-x,1-x-3-4-2-x,Ab G C Eb,1 3 5 7 ,
Abmaj7,maj7,x,11,10,8,8,x,x,4,3,1,1,x,,Ab,C,Eb,G,,,1,3,5,7,,x-11-10-8-8-x,x-4-3-1-1-x,Ab C Eb G,1 3 5 7 ,
Abmaj7,maj7,x,11,13,12,13,11,x,1,3,2,4,1,,Ab,Eb,G,C,Eb,,1,5,7,3,5,x-11-13-12-13-11,x-1-3-2-4-1,Ab Eb G C Eb,1 3 5 7 ,
Abmaj7,maj7,x,x,1,1,1,3,0,0,1,1,1,3,,,Eb,Ab,C,G,,,5,1,3,7,x-x-1-1-1-3,0-0-1-1-1-3,Eb Ab C G,1 3 5 7 ,
Abmaj7,maj7,x,x,1,1,1,3,x,x,1,1,1,3,,,Eb,Ab,C,G,,,5,1,3,7,x-x-1-1-1-3,x-x-1-1-1-3,Eb Ab C G,1 3 5 7 ,
Abmaj7,maj7,x,x,6,8,8,8,x,x,1,3,3,3,,,Ab,Eb,G,C,,,1,5,7,3,x-x-6-8-8-8,x-x-1-3-3-3,Ab Eb G C,1 3 5 7 ,
Abmaj7#11,maj7#11,4,x,5,5,3,x,2,x,3,4,1,x,Ab,,G,C,D,,1,,7,3,b5,,4-x-5-5-3-x,2-x-3-4-1-x,Ab G C D,1 3 b5 7 ,
Abmaj7#11,maj7#11,x,3,1,1,3,3,x,2,1,1,3,4,,C,Eb,Ab,D,G,,3,5,1,b5,7,x-3-1-1-3-3,x-2-1-1-3-4,C Eb Ab D G,1 3 b5 5 7 ,
Abmaj7#11,maj7#11,x,11,10,12,13,10,x,2,1,3,4,1,,Ab,C,G,C,D,,1,3,7,3,b5,x-11-10-12-13-10,x-2-1-3-4-1,Ab C G C D,1 3 b5 7 ,
Abmaj7#11,maj7#11,x,11,12,12,13,11,x,1,2,3,4,1,,Ab,D,G,C,Eb,,1,b5,7,3,5,x-11-12-12-13-11,x-1-2-3-4-1,Ab D G C Eb,1 3 b5 5 7 ,
Abmaj7#11,maj7#11,x,x,6,7,8,8,x,x,1,2,3,3,,,Ab,D,G,C,,,1,b5,7,3,x-x-6-7-8-8,x-x-1-2-3-3,Ab D G C,1 3 b5 7 ,
Abmaj9,maj9,3,1,1,1,1,x,3,1,1,1,1,0,G,Bb,Eb,Ab,C,,7,2,5,1,3,,3-1-1-1-1-x,3-1-1-1-1-0,G Bb Eb Ab C,1 2 3 5 7 ,
Abmaj9,maj9,4,1,1,3,1,3,4,1,1,2,1,3,Ab,Bb,Eb,Bb,C,G,1,2,5,2,3,7,4-1-1-3-1-3,4-1-1-2-1-3,Ab Bb Eb Bb C G,1 2 3 5 7 ,
Abmaj9,maj9,4,3,5,3,4,x,0,1,4,1,3,0,Ab,C,G,Bb,Eb,,1,3,7,2,5,,4-3-5-3-4-x,0-1-4-1-3-0,Ab C G Bb Eb,1 2 3 5 7 ,
Abmaj9,maj9,x,11,8,8,8,8,x,4,1,1,1,1,,Ab,Bb,Eb,G,C,,1,2,5,7,3,x-11-8-8-8-8,x-4-1-1-1-1,Ab Bb Eb G C,1 2 3 5 7 ,
Abmaj9,maj9,x,11,10,12,11,x,x,2,1,4,3,x,,Ab,C,G,Bb,,,1,3,7,2,,x-11-10-12-11-x,x-2-1-4-3-x,Ab C G Bb,1 2 3 7 ,
Abmaj9,maj9,x,13,13,13,13,15,x,1,1,1,1,3,,Bb,Eb,Ab,C,G,,2,5,1,3,7,x-13-13-13-13-15,x-1-1-1-1-3,Bb Eb Ab C G,1 2 3 5 7 ,
Abmaj9,maj9,x,x,6,5,8,6,x,x,2,1,4,3,,,Ab,C,G,Bb,,,1,3,7,2,x-x-6-5-8-6,x-x-2-1-4-3,Ab C G Bb,1 2 3 7 ,
Abmb6,mb6,4,6,6,4,5,4,1,3,4,1,2,1,Ab,Eb,Ab,B,E,Ab,1,5,1,b3,b6,1,4-6-6-4-5-4,1-3-4-1-2-1,Ab Eb Ab B E Ab,1 b3 5 b6 ,
Abmb6,mb6,7,x,6,8,5,x,3,x,2,4,1,x,B,,Ab,Eb,E,,b3,,1,5,b6,,7-x-6-8-5-x,3-x-2-4-1-x,B Ab Eb E,1 b3 5 b6 ,
Abmb6,mb6,x,11,9,9,9,11,x,3,1,1,1,4,,Ab,B,E,Ab,Eb,,1,b3,b6,1,5,x-11-9-9-9-11,x-3-1-1-1-4,Ab B E Ab Eb,1 b3 5 b6 ,
Abmb6,mb6,x,11,13,13,12,12,x,1,3,4,2,2,,Ab,Eb,Ab,B,E,,1,5,1,b3,b6,x-11-13-13-12-12,x-1-3-4-2-2,Ab Eb Ab B E,1 b3 5 b6 ,
Abmb6,mb6,x,x,1,1,0,0,x,x,1,2,0,0,,,Eb,Ab,B,E,,,5,1,b3,b6,x-x-1-1-0-0,x-x-1-2-0-0,Eb Ab B E,1 b3 5 b6 ,
Absus2,sus2,x,1,1,1,4,4,x,1,1,1,4,4,,Bb,Eb,Ab,Eb,Ab,,2,5,1,5,1,x-1-1-1-4-4,x-1-1-1-4-4,Bb Eb Ab Eb Ab,1 2 5 ,
Absus2,sus2,x,1,1,1,x,x,0,1,2,3,0,0,,Bb,Eb,Ab,,,,2,5,1,,,x-1-1-1-x-x,0-1-2-3-0-0,Bb Eb Ab,1 2 5 ,
Absus2,sus2,x,11,8,8,9,x,x,4,1,1,2,x,,Ab,Bb,Eb,Ab,,,1,2,5,1,,x-11-8-8-9-x,x-4-1-1-2-x,Ab Bb Eb Ab,1 2 5 ,
Absus2,sus2,x,11,13,13,11,11,x,1,3,4,1,1,,Ab,Eb,Ab,Bb,Eb,,1,5,1,2,5,x-11-13-13-11-11,x-1-3-4-1-1,Ab Eb Ab Bb Eb,1 2 5 ,
Absus2,sus2,x,13,13,13,11,x,x,2,3,4,1,x,,Bb,Eb,Ab,Bb,,,2,5,1,2,,x-13-13-13-11-x,x-2-3-4-1-x,Bb Eb Ab Bb,1 2 5 ,
Absus2,sus2,x,x,6,8,9,6,x,x,1,3,4,1,,,Ab,Eb,Ab,Bb,,,1,5,1,2,x-x-6-8-9-6,x-x-1-3-4-1,Ab Eb Ab Bb,1 2 5 ,
Absus4,sus4,4,4,6,6,4,4,1,1,4,3,1,1,Ab,Db,Ab,Db,Eb,Ab,1,4,1,4,5,1,4-4-6-6-4-4,1-1-4-3-1-1,Ab Db Ab Db Eb Ab,1 4 5 ,
Absus4,sus4,4,6,6,6,4,4,1,2,3,4,1,1,Ab,Eb,Ab,Db,Eb,Ab,1,5,1,4,5,1,4-6-6-6-4-4,1-2-3-4-1-1,Ab Eb Ab Db Eb Ab,1 4 5 ,
Absus4,sus4,x,11,11,8,9,x,x,3,4,1,2,x,,Ab,Db,Eb,Ab,,,1,4,5,1,,x-11-11-8-9-x,x-3-4-1-2-x,Ab Db Eb Ab,1 4 5 ,
Absus4,sus4,x,11,13,13,14,x,x,1,2,3,4,x,,Ab,Eb,Ab,Db,,,1,5,1,4,,x-11-13-13-14-x,x-1-2-3-4-x,Ab Eb Ab Db,1 4 5 ,
Absus4,sus4,x,x,1,1,2,4,0,0,1,1,2,4,,,Eb,Ab,Db,Ab,,,5,1,4,1,x-x-1-1-2-4,0-0-1-1-2-4,Eb Ab Db Ab,1 4 5 ,
Absus4,sus4,x,x,1,1,2,4,x,x,1,1,2,4,,,Eb,Ab,Db,Ab,,,5,1,4,1,x-x-1-1-2-4,x-x-1-1-2-4,Eb Ab Db Ab,1 4 5 ,
Absus4,sus4,x,x,6,8,9,9,x,x,1,3,4,4,,,Ab,Eb,Ab,Db,,,1,5,1,4,x-x-6-8-9-9,x-x-1-3-4-4,Ab Eb Ab Db,1 4 5 ,
B,,7,6,4,4,4,x,4,3,1,1,1,x,B,Eb,Gb,B,Eb,,1,3,5,1,3,,7-6-4-4-4-x,4-3-1-1-1-x,B Eb Gb B Eb,1 3 5 ,
B,,7,9,9,8,7,7,1,3,4,2,1,1,B,Gb,B,Eb,Gb,B,1,5,1,3,5,1,7-9-9-8-7-7,1-3-4-2-1-1,B Gb B Eb Gb B,1 3 5 ,
B,,x,2,4,4,4,2,0,1,3,3,3,1,,B,Gb,B,Eb,Gb,,1,5,1,3,5,x-2-4-4-4-2,0-1-3-3-3-1,B Gb B Eb Gb,1 3 5 ,
B,,x,2,4,4,4,4,x,1,3,3,3,x,,B,Gb,B,Eb,Ab,,1,5,1,3,6,x-2-4-4-4-4,x-1-3-3-3-x,B Gb B Eb Ab,1 3 5 6 ,
B,,x,14,13,11,12,x,x,4,3,1,2,x,,B,Eb,Gb,B,,,1,3,5,1,,x-14-13-11-12-x,x-4-3-1-2-x,B Eb Gb B,1 3 5 ,
B,,x,x,9,11,12,11,x,x,1,2,4,3,,,B,Gb,B,Eb,,,1,5,1,3,x-x-9-11-12-11,x-x-1-2-4-3,B Gb B Eb,1 3 5 ,
B+,+,7,x,9,8,8,x,1,x,4,2,3,x,B,,B,Eb,G,,1,,1,3,b6,,7-x-9-8-8-x,1-x-4-2-3-x,B B Eb G,1 3 b6 ,
B+,+,x,2,1,0,0,3,x,2,1,0,0,4,,B,Eb,G,B,G,,1,3,b6,1,b6,x-2-1-0-0-3,x-2-1-0-0-4,B Eb G B G,1 3 b6 ,
B+,+,x,2,5,4,4,3,0,1,4,2,3,1,,B,G,B,Eb,G,,1,b6,1,3,b6,x-2-5-4-4-3,0-1-4-2-3-1,B G B Eb G,1 3 b6 ,
B+,+,x,14,13,12,12,x,x,3,2,1,1,x,,B,Eb,G,B,,,1,3,b6,1,,x-14-13-12-12-x,x-3-2-1-1-x,B Eb G B,1 3 b6 ,
B+,+,x,x,9,8,8,11,x,x,2,1,1,4,,,B,Eb,G,Eb,,,1,3,b6,3,x-x-9-8-8-11,x-x-2-1-1-4,B Eb G Eb,1 3 b6 ,
B+,+,x,x,9,8,8,7,x,x,4,2,3,1,,,B,Eb,G,B,,,1,3,b6,1,x-x-9-8-8-7,x-x-4-2-3-1,B Eb G B,1 3 b6 ,
B+7,7,7,x,7,8,8,x,1,x,2,3,4,x,B,,A,Eb,G,,1,,b7,3,b6,,7-x-7-8-8-x,1-x-2-3-4-x,B A Eb G,1 3 b6 b7 ,
B+7,7,x,2,1,2,0,3,x,2,1,3,0,4,,B,Eb,A,B,G,,1,3,b7,1,b6,x-2-1-2-0-3,x-2-1-3-0-4,B Eb A B G,1 3 b6 b7 ,
B+7,7,x,2,5,2,4,x,x,1,4,1,3,x,,B,G,A,Eb,,,1,b6,b7,3,,x-2-5-2-4-x,x-1-4-1-3-x,B G A Eb,1 3 b6 b7 ,
B+7,7,x,12,13,12,12,x,x,1,2,1,1,x,,A,Eb,G,B,,,b7,3,b6,1,,x-12-13-12-12-x,x-1-2-1-1-x,A Eb G B,1 3 b6 b7 ,
B+7,7,x,x,9,12,10,11,x,x,1,4,2,3,,,B,G,A,Eb,,,1,b6,b7,3,x-x-9-12-10-11,x-x-1-4-2-3,B G A Eb,1 3 b6 b7 ,
B+7#9,+7#9,11,x,x,12,10,10,2,x,x,3,1,1,Eb,,,G,A,D,3,,,b6,b7,b3,11-x-x-12-10-10,2-x-x-3-1-1,Eb G A D,b3 3 b6 b7 ,
B+7#9,+7#9,x,2,1,2,3,3,x,2,1,3,4,4,,B,Eb,A,D,G,,1,3,b7,b3,b6,x-2-1-2-3-3,x-2-1-3-4-4,B Eb A D G,1 b3 3 b6 b7 ,
B+7#9,+7#9,x,6,5,7,8,5,x,2,1,3,4,1,,Eb,G,D,G,A,,3,b6,b3,b6,b7,x-6-5-7-8-5,x-2-1-3-4-1,Eb G D G A,b3 3 b6 b7 ,
B+7#9,+7#9,x,x,7,8,8,10,x,x,1,2,2,4,,,A,Eb,G,D,,,b7,3,b6,b3,x-x-7-8-8-10,x-x-1-2-2-4,A Eb G D,b3 3 b6 b7 ,
B+7#9,+7#9,x,x,12,12,10,11,x,x,3,4,1,2,,,D,G,A,Eb,,,b3,b6,b7,3,x-x-12-12-10-11,x-x-3-4-1-2,D G A Eb,b3 3 b6 b7 ,
B+7b9,+7b9,7,6,5,5,8,5,3,2,1,1,4,1,B,Eb,G,C,G,A,1,3,b6,b2,b6,b7,7-6-5-5-8-5,3-2-1-1-4-1,B Eb G C G A,1 b2 3 b6 b7 ,
B+7b9,+7b9,11,x,10,12,10,x,2,x,1,3,1,x,Eb,,C,G,A,,3,,b2,b6,b7,,11-x-10-12-10-x,2-x-1-3-1-x,Eb C G A,b2 3 b6 b7 ,
B+7b9,+7b9,x,2,1,2,1,3,x,2,1,3,1,4,,B,Eb,A,C,G,,1,3,b7,b2,b6,x-2-1-2-1-3,x-2-1-3-1-4,B Eb A C G,1 b2 3 b6 b7 ,
B+7b9,+7b9,x,12,13,12,13,x,x,1,2,1,3,x,,A,Eb,G,C,,,b7,3,b6,b2,,x-12-13-12-13-x,x-1-2-1-3-x,A Eb G C,b2 3 b6 b7 ,
B+7b9,+7b9,x,x,7,8,8,8,x,x,1,3,3,3,,,A,Eb,G,C,,,b7,3,b6,b2,x-x-7-8-8-8,x-x-1-3-3-3,A Eb G C,b2 3 b6 b7 ,
B+9,9,11,x,11,12,10,x,2,x,3,4,1,x,Eb,,Db,G,A,,3,,2,b6,b7,,11-x-11-12-10-x,2-x-3-4-1-x,Eb Db G A,2 3 b6 b7 ,
B+9,9,x,2,1,2,2,3,x,2,1,3,3,4,,B,Eb,A,Db,G,,1,3,b7,2,b6,x-2-1-2-2-3,x-2-1-3-3-4,B Eb A Db G,1 2 3 b6 b7 ,
B+9,9,x,12,13,12,14,x,x,1,2,1,4,x,,A,Eb,G,Db,,,b7,3,b6,2,,x-12-13-12-14-x,x-1-2-1-4-x,A Eb G Db,2 3 b6 b7 ,
B+9,9,x,x,7,8,8,9,x,x,1,2,3,4,,,A,Eb,G,Db,,,b7,3,b6,2,x-x-7-8-8-9,x-x-1-2-3-4,A Eb G Db,2 3 b6 b7 ,
B+9,9,x,x,11,12,10,11,x,x,2,4,1,3,,,Db,G,A,Eb,,,2,b6,b7,3,x-x-11-12-10-11,x-x-2-4-1-3,Db G A Eb,2 3 b6 b7 ,
B11,11,7,7,7,8,7,9,1,1,1,2,1,3,B,E,A,Eb,Gb,Db,1,4,b7,3,5,2,7-7-7-8-7-9,1-1-1-2-1-3,B E A Eb Gb Db,1 2 3 4 5 b7 ,
B11,11,x,2,1,2,2,0,x,2,1,3,4,0,,B,Eb,A,Db,E,,1,3,b7,2,4,x-2-1-2-2-0,x-2-1-3-4-0,B Eb A Db E,1 2 3 4 b7 ,
B11,11,x,2,2,2,4,2,x,1,1,1,3,1,,B,E,A,Eb,Gb,,1,4,b7,3,5,x-2-2-2-4-2,x-1-1-1-3-1,B E A Eb Gb,1 3 4 5 b7 ,
B11,11,x,14,13,14,12,12,x,3,2,4,1,1,,B,Eb,A,B,E,,1,3,b7,1,4,x-14-13-14-12-12,x-3-2-4-1-1,B Eb A B E,1 3 4 b7 ,
B11,11,x,x,9,9,10,11,x,x,1,1,2,3,,,B,E,A,Eb,,,1,4,b7,3,x-x-9-9-10-11,x-x-1-1-2-3,B E A Eb,1 3 4 b7 ,
B13,13,5,4,4,4,4,4,2,1,1,1,1,1,A,Db,Gb,B,Eb,Ab,b7,2,5,1,3,6,5-4-4-4-4-4,2-1-1-1-1-1,A Db Gb B Eb Ab,1 2 3 5 6 b7 ,
B13,13,7,9,7,8,9,7,1,3,1,2,4,1,B,Gb,A,Eb,Ab,B,1,5,b7,3,6,1,7-9-7-8-9-7,1-3-1-2-4-1,B Gb A Eb Ab B,1 3 5 6 b7 ,
B13,13,x,2,1,2,0,4,0,2,1,3,0,4,,B,Eb,A,B,Ab,,1,3,b7,1,6,x-2-1-2-0-4,0-2-1-3-0-4,B Eb A B Ab,1 3 6 b7 ,
B13,13,x,2,1,2,2,4,x,2,1,3,3,4,,B,Eb,A,Db,Ab,,1,3,b7,2,6,x-2-1-2-2-4,x-2-1-3-3-4,B Eb A Db Ab,1 2 3 6 b7 ,
B13,13,x,2,4,2,4,4,x,1,2,1,3,4,,B,Gb,A,Eb,Ab,,1,5,b7,3,6,x-2-4-2-4-4,x-1-2-1-3-4,B Gb A Eb Ab,1 3 5 6 b7 ,
B13,13,x,11,13,14,12,11,x,1,3,4,2,1,,Ab,Eb,A,B,Eb,,6,3,b7,1,3,x-11-13-14-12-11,x-1-3-4-2-1,Ab Eb A B Eb,1 3 6 b7 ,
B13,13,x,12,13,13,12,x,x,1,3,4,2,x,,A,Eb,Ab,B,,,b7,3,6,1,,x-12-13-13-12-x,x-1-3-4-2-x,A Eb Ab B,1 3 6 b7 ,
B13sus4,13sus4,4,4,4,4,5,5,1,1,1,1,2,3,Ab,Db,Gb,B,E,A,6,2,5,1,4,b7,4-4-4-4-5-5,1-1-1-1-2-3,Ab Db Gb B E A,1 2 4 5 6 b7 ,
B13sus4,13sus4,7,9,7,9,9,7,1,2,1,3,4,1,B,Gb,A,E,Ab,B,1,5,b7,4,6,1,7-9-7-9-9-7,1-2-1-3-4-1,B Gb A E Ab B,1 4 5 6 b7 ,
B13sus4,13sus4,x,2,2,2,2,4,x,1,1,1,1,3,,B,E,A,Db,Ab,,1,4,b7,2,6,x-2-2-2-2-4,x-1-1-1-1-3,B E A Db Ab,1 2 4 6 b7 ,
B13sus4,13sus4,x,11,9,9,10,9,x,3,1,1,2,1,,Ab,B,E,A,Db,,6,1,4,b7,2,x-11-9-9-10-9,x-3-1-1-2-1,Ab B E A Db,1 2 4 6 b7 ,
B13sus4,13sus4,x,12,14,13,12,12,x,1,3,2,1,1,,A,E,Ab,B,E,,b7,4,6,1,4,x-12-14-13-12-12,x-1-3-2-1-1,A E Ab B E,1 4 6 b7 ,
B5,5,7,9,9,x,x,x,1,3,4,x,x,x,B,Gb,B,,,,1,5,1,,,,7-9-9-x-x-x,1-3-4-x-x-x,B Gb B,1 5 ,
B5,5,x,2,4,4,x,x,x,1,3,4,x,x,,B,Gb,B,,,,1,5,1,,,x-2-4-4-x-x,x-1-3-4-x-x,B Gb B,1 5 ,
B5,5,x,14,16,16,x,x,x,1,3,4,x,x,,B,Gb,B,,,,1,5,1,,,x-14-16-16-x-x,x-1-3-4-x-x,B Gb B,1 5 ,
B5,5,x,x,4,4,7,7,x,x,1,1,4,4,,,Gb,B,Gb,B,,,5,1,5,1,x-x-4-4-7-7,x-x-1-1-4-4,Gb B Gb B,1 5 ,
B5,5,x,x,9,11,12,x,x,x,1,3,4,x,,,B,Gb,B,,,,1,5,1,,x-x-9-11-12-x,x-x-1-3-4-x,B Gb B,1 5 ,
B6,6,7,6,4,4,4,4,4,3,1,1,1,1,B,Eb,Gb,B,Eb,Ab,1,3,5,1,3,6,7-6-4-4-4-4,4-3-1-1-1-1,B Eb Gb B Eb Ab,1 3 5 6 ,
B6,6,7,x,6,8,7,x,2,x,1,4,3,x,B,,Ab,Eb,Gb,,1,,6,3,5,,7-x-6-8-7-x,2-x-1-4-3-x,B Ab Eb Gb,1 3 5 6 ,
B6,6,x,2,4,4,4,4,0,1,3,3,3,3,,B,Gb,B,Eb,Ab,,1,5,1,3,6,x-2-4-4-4-4,0-1-3-3-3-3,B Gb B Eb Ab,1 3 5 6 ,
B6,6,x,2,4,4,4,4,x,1,3,3,3,3,,B,Gb,B,Eb,Ab,,1,5,1,3,6,x-2-4-4-4-4,x-1-3-3-3-3,B Gb B Eb Ab,1 3 5 6 ,
B6,6,x,14,x,13,16,14,x,2,x,1,4,3,,B,,Ab,Eb,Gb,,1,,6,3,5,x-14-x-13-16-14,x-2-x-1-4-3,B Ab Eb Gb,1 3 5 6 ,
B6,6,x,x,9,11,9,11,x,x,1,3,1,4,,,B,Gb,Ab,Eb,,,1,5,6,3,x-x-9-11-9-11,x-x-1-3-1-4,B Gb Ab Eb,1 3 5 6 ,
B6/9,6-Sep,2,2,1,1,2,x,3,3,1,1,2,0,Gb,B,Eb,Ab,Db,,5,1,3,6,2,,2-2-1-1-2-x,3-3-1-1-2-0,Gb B Eb Ab Db,1 2 3 5 6 ,
B6/9,6-Sep,4,4,4,4,4,4,1,1,1,1,1,1,Ab,Db,Gb,B,Eb,Ab,6,2,5,1,3,6,4-4-4-4-4-4,1-1-1-1-1-1,Ab Db Gb B Eb Ab,1 2 3 5 6 ,
B6/9,6-Sep,4,4,4,4,4,x,1,1,1,1,1,0,Ab,Db,Gb,B,Eb,,6,2,5,1,3,,4-4-4-4-4-x,1-1-1-1-1-0,Ab Db Gb B Eb,1 2 3 5 6 ,
B6/9,6-Sep,x,2,1,1,2,2,0,2,1,1,3,4,,B,Eb,Ab,Db,Gb,,1,3,6,2,5,x-2-1-1-2-2,0-2-1-1-3-4,B Eb Ab Db Gb,1 2 3 5 6 ,
B7,7,7,9,7,8,7,7,1,3,1,2,1,1,B,Gb,A,Eb,Gb,B,1,5,b7,3,5,1,7-9-7-8-7-7,1-3-1-2-1-1,B Gb A Eb Gb B,1 3 5 b7 ,
B7,7,x,2,1,2,0,2,0,2,1,3,0,4,,B,Eb,A,B,Gb,,1,3,b7,1,5,x-2-1-2-0-2,0-2-1-3-0-4,B Eb A B Gb,1 3 5 b7 ,
B7,7,x,2,1,2,0,2,x,2,1,3,0,4,,B,Eb,A,B,Gb,,1,3,b7,1,5,x-2-1-2-0-2,x-2-1-3-0-4,B Eb A B Gb,1 3 5 b7 ,
B7,7,x,2,4,2,4,2,x,1,3,1,4,1,,B,Gb,A,Eb,Gb,,1,5,b7,3,5,x-2-4-2-4-2,x-1-3-1-4-1,B Gb A Eb Gb,1 3 5 b7 ,
B7,7,x,12,x,11,12,11,x,2,x,1,3,1,,A,,Gb,B,Eb,,b7,,5,1,3,x-12-x-11-12-11,x-2-x-1-3-1,A Gb B Eb,1 3 5 b7 ,
B7,7,x,x,9,11,10,11,x,x,1,3,2,4,,,B,Gb,A,Eb,,,1,5,b7,3,x-x-9-11-10-11,x-x-1-3-2-4,B Gb A Eb,1 3 5 b7 ,
B7#11,7#11,7,x,7,8,6,x,2,x,3,4,1,x,B,,A,Eb,F,,1,,b7,3,b5,,7-x-7-8-6-x,2-x-3-4-1-x,B A Eb F,1 3 b5 b7 ,
B7#11,7#11,11,x,9,10,10,x,4,x,1,2,3,x,Eb,,B,F,A,,3,,1,b5,b7,,11-x-9-10-10-x,4-x-1-2-3-x,Eb B F A,1 3 b5 b7 ,
B7#11,7#11,x,2,3,2,4,2,x,1,2,1,4,1,,B,F,A,Eb,Gb,,1,b5,b7,3,5,x-2-3-2-4-2,x-1-2-1-4-1,B F A Eb Gb,1 3 b5 5 b7 ,
B7#11,7#11,x,6,4,4,6,5,x,3,1,1,4,2,,Eb,Gb,B,F,A,,3,5,1,b5,b7,x-6-4-4-6-5,x-3-1-1-4-2,Eb Gb B F A,1 3 b5 5 b7 ,
B7#11,7#11,x,x,9,10,10,11,x,x,1,2,2,3,,,B,F,A,Eb,,,1,b5,b7,3,x-x-9-10-10-11,x-x-1-2-2-3,B F A Eb,1 3 b5 b7 ,
B7#5,7#5,x,2,1,2,0,3,0,2,1,3,0,4,,B,Eb,A,B,G,,1,3,b7,1,b6,x-2-1-2-0-3,0-2-1-3-0-4,B Eb A B G,1 3 b6 b7 ,
B7#9,7#9,10,x,x,11,10,11,1,x,x,3,2,4,D,,,Gb,A,Eb,b3,,,5,b7,3,10-x-x-11-10-11,1-x-x-3-2-4,D Gb A Eb,b3 3 5 b7 ,
