Chord Name,Chord Type,Ft-E,Ft-A,Ft-D,Ft-G,Ft-B,Ft-e,Fg-E,Fg-A,Fg-D,Fg-G,Fg-B,Fg-e,Fn-E,Fn-A,Fn-D,Fn-G,Fn-B,Fn-e,Fi-E,Fi-A,Fi-D,Fi-G,Fi-B,Fi-e,Fret Positions,Finger Positions,Notes,Sorted Intervals,Grouping
E7b9,7b9,x,5,x,4,6,4,x,2,x,1,3,1,,D,,B,F,Ab,,b7,,5,b2,3,x-5-x-4-6-4,x-2-x-1-3-1,D B F Ab,b2 3 5 b7 ,
E7b9,7b9,x,7,6,7,6,x,x,2,1,3,1,x,,E,Ab,D,F,,,1,3,b7,b2,,x-7-6-7-6-x,x-2-1-3-1-x,E Ab D F,1 b2 3 b7 ,
E7b9,7b9,x,x,9,10,9,10,x,x,1,3,2,4,,,B,F,Ab,D,,,5,b2,3,b7,x-x-9-10-9-10,x-x-1-3-2-4,B F Ab D,b2 3 5 b7 ,
E7sus4,7sus4,0,2,0,2,0,0,0,2,0,3,0,0,E,B,D,A,B,E,1,5,b7,4,5,1,0-2-0-2-0-0,0-2-0-3-0-0,E B D A B E,1 4 5 b7 ,
E7sus4,7sus4,10,x,9,9,10,x,2,x,1,1,3,x,D,,B,E,A,,b7,,5,1,4,,10-x-9-9-10-x,2-x-1-1-3-x,D B E A,1 4 5 b7 ,
E7sus4,7sus4,12,14,12,14,15,12,1,2,1,3,4,1,E,B,D,A,D,E,1,5,b7,4,b7,1,12-14-12-14-15-12,1-2-1-3-4-1,E B D A D E,1 4 5 b7 ,
E7sus4,7sus4,x,7,9,7,10,7,x,1,3,1,4,1,,E,B,D,A,B,,1,5,b7,4,5,x-7-9-7-10-7,x-1-3-1-4-1,E B D A B,1 4 5 b7 ,
E7sus4,7sus4,x,x,2,4,3,5,x,x,1,3,2,4,,,E,B,D,A,,,1,5,b7,4,x-x-2-4-3-5,x-x-1-3-2-4,E B D A,1 4 5 b7 ,
E9,9,0,2,0,1,0,2,0,2,0,1,0,3,E,B,D,Ab,B,Gb,1,5,b7,3,5,2,0-2-0-1-0-2,0-2-0-1-0-3,E B D Ab B Gb,1 2 3 5 b7 ,
E9,9,10,9,9,9,9,x,2,1,1,1,1,0,D,Gb,B,E,Ab,,b7,2,5,1,3,,10-9-9-9-9-x,2-1-1-1-1-0,D Gb B E Ab,1 2 3 5 b7 ,
E9,9,12,x,12,11,9,x,3,x,4,2,1,x,E,,D,Gb,Ab,,1,,b7,2,3,,12-x-12-11-9-x,3-x-4-2-1-x,E D Gb Ab,1 2 3 b7 ,
E9,9,x,7,6,7,7,7,x,2,1,3,3,3,,E,Ab,D,Gb,B,,1,3,b7,2,5,x-7-6-7-7-7,x-2-1-3-3-3,E Ab D Gb B,1 2 3 5 b7 ,
E9,9,x,11,12,11,12,x,x,1,3,2,4,x,,Ab,D,Gb,B,,,3,b7,2,5,,x-11-12-11-12-x,x-1-3-2-4-x,Ab D Gb B,2 3 5 b7 ,
E9,9,x,x,14,13,15,14,x,x,2,1,4,3,,,E,Ab,D,Gb,,,1,3,b7,2,x-x-14-13-15-14,x-x-2-1-4-3,E Ab D Gb,1 2 3 b7 ,
E9b5,9b5,0,1,2,1,3,2,0,1,2,1,4,3,E,Bb,E,Ab,D,Gb,1,b5,1,3,b7,2,0-1-2-1-3-2,0-1-2-1-4-3,E Bb E Ab D Gb,1 2 3 b5 b7 ,
E9b5,9b5,x,7,6,7,7,6,x,2,1,3,4,1,,E,Ab,D,Gb,Bb,,1,3,b7,2,b5,x-7-6-7-7-6,x-2-1-3-4-1,E Ab D Gb Bb,1 2 3 b5 b7 ,
E9b5,9b5,x,9,8,7,9,x,x,3,2,1,4,x,,Gb,Bb,D,Ab,,,2,b5,b7,3,,x-9-8-7-9-x,x-3-2-1-4-x,Gb Bb D Ab,2 3 b5 b7 ,
E9b5,9b5,x,11,x,11,11,10,x,2,x,3,4,1,,Ab,,Gb,Bb,D,,3,,2,b5,b7,x-11-x-11-11-10,x-2-x-3-4-1,Ab Gb Bb D,2 3 b5 b7 ,
E9b5,9b5,x,x,12,13,11,14,x,x,2,3,1,4,,,D,Ab,Bb,Gb,,,b7,3,b5,2,x-x-12-13-11-14,x-x-2-3-1-4,D Ab Bb Gb,2 3 b5 b7 ,
E9sus4,9sus4,0,2,2,2,3,2,0,1,1,1,2,1,E,B,E,A,D,Gb,1,5,1,4,b7,2,0-2-2-2-3-2,0-1-1-1-2-1,E B E A D Gb,1 2 4 5 b7 ,
E9sus4,9sus4,12,x,12,11,10,x,3,x,4,2,1,x,E,,D,Gb,A,,1,,b7,2,4,,12-x-12-11-10-x,3-x-4-2-1-x,E D Gb A,1 2 4 b7 ,
E9sus4,9sus4,x,7,7,7,7,7,x,1,1,1,1,1,,E,A,D,Gb,B,,1,4,b7,2,5,x-7-7-7-7-7,x-1-1-1-1-1,E A D Gb B,1 2 4 5 b7 ,
E9sus4,9sus4,x,7,x,7,7,5,x,2,x,3,4,1,,E,,D,Gb,A,,1,,b7,2,4,x-7-x-7-7-5,x-2-x-3-4-1,E D Gb A,1 2 4 b7 ,
E9sus4,9sus4,x,x,14,14,15,14,x,x,1,1,2,1,,,E,A,D,Gb,,,1,4,b7,2,x-x-14-14-15-14,x-x-1-1-2-1,E A D Gb,1 2 4 b7 ,
Eadd9,add9,0,2,2,1,0,2,0,2,3,1,0,4,E,B,E,Ab,B,Gb,1,5,1,3,5,2,0-2-2-1-0-2,0-2-3-1-0-4,E B E Ab B Gb,1 2 3 5 ,
Eadd9,add9,2,2,2,1,0,0,0,3,4,1,0,0,Gb,B,E,Ab,B,E,2,5,1,3,5,1,2-2-2-1-0-0,0-3-4-1-0-0,Gb B E Ab B E,1 2 3 5 ,
Eadd9,add9,7,9,9,9,9,7,1,4,3,2,2,1,B,Gb,B,E,Ab,B,5,2,5,1,3,5,7-9-9-9-9-7,1-4-3-2-2-1,B Gb B E Ab B,1 2 3 5 ,
Eadd9,add9,7,x,6,9,7,x,2,x,1,4,3,x,B,,Ab,E,Gb,,5,,3,1,2,,7-x-6-9-7-x,2-x-1-4-3-x,B Ab E Gb,1 2 3 5 ,
Eadd9,add9,x,9,9,9,9,x,x,1,1,1,1,x,,Gb,B,E,Ab,,,2,5,1,3,,x-9-9-9-9-x,x-1-1-1-1-x,Gb B E Ab,1 2 3 5 ,
Eadd9,add9,x,11,x,11,12,12,x,1,x,2,3,4,,Ab,,Gb,B,E,,3,,2,5,1,x-11-x-11-12-12,x-1-x-2-3-4,Ab Gb B E,1 2 3 5 ,
